Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Canfor,canfor,GCAP32926,canford.co.uk,549300VCNLWIB4RRS716,Canada,Western European and Others Group (WEOG),,,Company,Manufacturing,,05/12/2022,CDP,,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Canoas,canoas,GCAP4071,,,Brazil,Latin American and Caribbean Group (GRULAC),,,City,,,15/09/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Canterbury Christ Church University,canterbury christ church university,GCAP15328,https://www.canterbury.ac.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Canyon Bicycles GmbH,canyon bicycles,,https://www.canyon.com/de-de/,529900ODXNU8H8UVR882,Germany,Western European and Others Group (WEOG),,,Company,Manufacturing,,01/05/2023,,,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Capchar,capchar,GCAP23637,https://capchar.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,09/01/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Cape Town,cape town,GCAP3539,,,South Africa,African Group,,,City,,,-,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Cape Verde National Olympic Committee,cape verde national olympic committee,GCAP29406,www.coc.cv,,Cabo Verde,African Group,,,Company,No sector specified,,22/10/2021,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Sports for Climate Action Framework
Capella Hotel Group Pte. Ltd.,capella hotel,GCAP29407,https://www.capellahotels.com/en,,Singapore,Asia-Pacific Group,,,Company,Hospitality,,20/01/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Capgemini SE,capgemini,GCAP541,https://www.capgemini.com/se-en/,96950077L0TN7BAROX36,France,Western European and Others Group (WEOG),,,Company,Services,,07/01/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Capioví,capiovi,GCAP18362,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Capita Plc,capita,GCAP22157,https://www.capita.com/,CMIGEWPLHL4M7ZV0IZ88,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,08/04/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Capital + SAFI S.A.,capital + safi,GCAP29409,http://www.capitalsafi.com/,,Bolivia,Latin American and Caribbean Group (GRULAC),,,Financial Institution,,,16th December 2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Net Zero Asset Managers Initiative
Capital College,capital college,GCAP19719,http://www.capitalcollege.ae,,United Arab Emirates,Asia-Pacific Group,,,Higher Education,,,19/11/2020,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Capital Four,capital four,,https://www.capital-four.com/,,Denmark,Western European and Others Group (WEOG),,,Financial Institution,,£15.75,,,,,,Mar-23,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Net Zero Asset Managers Initiative
Capital Group,capital,,https://www.capitalgroup.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,"£2,500.00",,,,,,Mar-23,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Net Zero Asset Managers Initiative
Capital Limited,capital,,,213800XG175G91JW8W37,United Kingdom,Western European and Others Group (WEOG),,,Company,"Mining - Other (Rare Minerals, Precious Metals and Gems)",,07/12/2023,,,Net-zero commitment,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Capital University College,capital university college,GCAP24871,https://capitalcollege.ae/,,United Arab Emirates,Asia-Pacific Group,,,Higher Education,,,15/09/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
CAPITELLI F.LLI S.R.L.,capitelli f.lli,,,8156005FD5CD2E378F46,Italy,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,08/02/2024,,,Net-zero commitment,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CapMan Plc,capman,GCAP29411,"www.capman.com, twitter.com/CapManPE, www.linkedin.com/company/capman",743700498L5THNQWVL66,Finland,Western European and Others Group (WEOG),,,Financial Institution,,,02/03/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Capricorn Investment Group,capricorn investment,GCAP20532,https://capricornllc.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,29th March 2021,CDP,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Net Zero Asset Managers Initiative
Capricórnio Têxtil,capricornio textil,,https://www.capricornio.com.br/,549300MH8OETHBBKJU80,Brazil,Latin American and Caribbean Group (GRULAC),,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,16/03/2023,,,Net-Zero Commitment,,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carbery Group,carbery,,www.carbery.com,,Ireland,Western European and Others Group (WEOG),,,Company,Food Production - Agricultural Production,,14/09/2023,,,Net-zero commitment,,Oct-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carbn,carbn,GCAP33291,https://www.carbn.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,03/07/2022,Own Website,Own Website,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Carbon Crowd,carbon crowd,GCAP33293,http://carboncrowd.io,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,29/03/2022,Did not - joined less than 12 months ago,Own Website,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
