GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
GCAP4733,"Santa Monica, CA",santa monica ca,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP336,Santander,santander,https://www.santander.com/content/dam/santander-com/en/documentos/informe-anual-de-sostenibilidad/2021/ias-2021-climate-finance-2021-en.pdf,,Spain,Western European and Others Group (WEOG),,,Financial Institution,n/a,1844950000000,21/04/2021,Own Website,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,
GCAP23092,Santane Ltd,santane,http://www.santane.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,07/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP33127,Santeria,santeria,https://santeriaapparel.com/ ,,Mexico,Latin American and Caribbean Group (GRULAC),,,SME,Apparel,,24/06/2022,Own Website,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
,Santex,santex,https://santexgroup.com,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Services,,21/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP4198,Santiago,santiago,,,Chile,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP24277,Santiago de Chuco,santiago chuco,,,Peru,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP24278,Santiago del Estero,santiago del estero,,,Argentina,Latin American and Caribbean Group (GRULAC),,,State or Region,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP4823,Santo Tomé,santo tomé,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP23268,Santosa Wellness Centre,santosa wellness centre,http://santosa.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,30/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP4125,São Crisóvão,são crisóvão,,,Brazil,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP24279,SÃO GONÇALO DO RIO ABAIXO,são gonçalo do rio abaixo,,,Brazil,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP24280,São José do Rio Preto,são josé do rio preto,,,Brazil,Latin American and Caribbean Group (GRULAC),,,City,n/a,,14/10/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,São Leopoldo,são leopoldo,,,Brazil,Latin American and Caribbean Group (GRULAC),,,City,n/a,,11/05/2022,CDP-ICLEI Track,,Mar-23,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,São Paulo (city),são paulo (city),https://www.saopaulo.sp.gov.br/,,Brazil,Latin American and Caribbean Group (GRULAC),,,City,n/a,,07/01/2021,CDP,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP24281,São Sepé,são sepé,,,Brazil,Latin American and Caribbean Group (GRULAC),,,City,n/a,,09/08/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP30166,Liverpool Football Club and Athletic Ground Limited,liverpool football club athletic ground,https://www.liverpoolfc.com/,,United Kingdom,Western European and Others Group (WEOG),,,Company,No sector specified ,,06/09/2021,Other,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
,SAP SE,sap,sapsacademy.com,529900D6BF99LW9R2E68,Germany,Western European and Others Group (WEOG),,,Company,Services,,19/07/2019,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP19353,Sapporo City (Hokkaido Prefecture),sapporo city (hokkaido prefecture),,,Japan,Asia-Pacific Group,,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP25433,Sapthagiri College of Engineering,sapthagiri college of engineering,,,India,Asia-Pacific Group,,,Higher Education,n/a,,21/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP30642,SARACEN MEDIA LIMITED,saracen media,http://www.saracen-media.com,,Kenya,African Group,,,SME,Services,,14/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23226,Sarah Fleming Associates Ltd,sarah fleming associates,http://www.sfa-connect,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,27/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP16687,Sarasin & Partners LLP,sarasin partners,https://sarasinandpartners.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,n/a,,,CDP,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
GCAP4633,"Sarasota, FL",sarasota fl,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP19531,Sarawak Energy Berhad,sarawak energy,https://www.sarawakenergy.com/,,Malaysia,Asia-Pacific Group,,,Company,Power generation,,07/02/2020,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP25434,"Sardar Patel University, Balaghat",sardar patel university balaghat,,,India,Asia-Pacific Group,,,Higher Education,n/a,,21/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP18893,Sarnath International Nyingma Institute,sarnath nyingma institute,https://www.sinibridge.org/,,India,Asia-Pacific Group,,,Higher Education,n/a,,19/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
,sarrosi,sarrosi,http://sarrosi.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,17/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30643,SAS Grand Air,grand air,,,France,Western European and Others Group (WEOG),,,SME,Other,,14/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP19523,SAS Institute Inc.,sas institute,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8764.html?gclid=CjwKCAiA3pugBhAwEiwAWFzwdT2Sm6Emrq041ZV9aTbhytVszQdPItPUfJiND3H-NJAVfkSPMGcKGBoCgDoQAvD_BwE,54930038Z4LRJWWZ1746,United States of America,Western European and Others Group (WEOG),,,Company,Services,,16/06/2020,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP31204,Satara,satara,,,India,Asia-Pacific Group,,,City,n/a,,28/06/2022,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP20909,SATAVIA Ltd.,satavia,https://satavia.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,04/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP20910,Satellite Applications Catapult,satellite applications catapult,http://sa.catapult.org.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,04/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Satellite Vu,satellite vu,http://www.satellitevu.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,10/01/2021,Did not - support needed,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
GCAP2435,Sateri,sateri,https://www.sateri.com/sustainability/our-commitment/,,China,Asia-Pacific Group,,,Company,Apparel,,05/08/2020,CDP,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
GCAP24669,Sauce Connections Ltd,sauce connections,http://www.rewater.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,07/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP4824,Sauce Viejo,sauce viejo,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Saudi Multichem Chemical Company,saudi multichem chemical,http://www.saudi-multichem.com,,Saudi Arabia,Asia-Pacific Group,,,SME,Other chemicals manufacturing,,20/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP18647,Saudi Telecom Company,saudi telecom,,21380028ATJ79OTA9W17,Saudi Arabia,Asia-Pacific Group,,,Company,Services,,22/12/2019,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP23424,Saul D Humphrey LLP,saul d humphrey,http://www.sauldhumphrey.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,14/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30645,Sault Ste. Marie,sault ste marie,,,Canada,Western European and Others Group (WEOG),,,City,n/a,,29/11/2021,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP33149,Saur,saur,saurenergy.com,969500KI2WHWVQS6KU08,France,Western European and Others Group (WEOG),,,Company,Infrastructure,,06/09/2022,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP33403,Sava,sava,http://www.sava.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,28/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP19780,Save by Solar,save by solar,http://www.saveby.solar,,Sweden,Western European and Others Group (WEOG),,,SME,Power generation,,23/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP33346,Save Market,save market,https://save-market.com,,France,Western European and Others Group (WEOG),,,SME,Other,,07/04/2022,Did not - joined less than 12 months ago,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
,Save The Duck S.p.A.,save the duck,http://www.savetheduck.it,,Italy,Western European and Others Group (WEOG),,,SME,Manufacturing,,06/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24704,Save the Student,save the student,https://www.savethestudent.org,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,15/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30646,SaveMoneyCutCarbon,savemoneycutcarbon,http://savemoneycutcarbon.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Savient Limited,savient,http://www.savient.uk.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,16/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP25246,Savills Investment Management,savills management,https://www.savillsim.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,n/a,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
GCAP30647,Savills Plc,savills,https://www.savills.co.uk/,213800WXICGMBWHTA933,United Kingdom,Western European and Others Group (WEOG),,,Company,Other,,03/10/2022,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP24625,Savvy Freight,savvy freight,http://www.savvyfreight.us,,United States of America,Western European and Others Group (WEOG),,,SME,Transportation services,,16/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Sawdye and Harris,sawdye harris,http://www.sawdyeandharris.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,14/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30649,Saxby's Cider,saxby's cider,http://www.saxbyscider.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,02/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,SaxonAir,saxonair,https://saxonair.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,08/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP31392,SB,sb,,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Infrastructure,,13/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,S-Bank plc,s-bank,,,Finland,Western European and Others Group (WEOG),,,Financial Institution,,5900000000,20/06/2023,,,Jul-23,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
,SC718489,sc718489,http://www.inductight.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,29/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,SCA Investments LTD T/A Gousto,sca investments t/a gousto,www.gousto.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,Company,Retail,,10/06/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP20318,Scan Global Logistics A/S,scan global logistics,https://www.scangl.com/,549300M5XVDYG4I7CC28,Denmark,Western European and Others Group (WEOG),,,Company,Transportation services,,30/12/2020,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,
GCAP21275,Scandi Standard AB,scandi standard,https://www.scandistandard.com/,5493006VHH78UQJVF844,Sweden,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,15/04/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Scandinavian Airlines System Denmark-Norway-Sweden,scandinavian airlines system denmark-norway-sweden,www.flysas.com,529900AE1FZNUH6EVS39,Sweden,Western European and Others Group (WEOG),,,Company,Transportation services,,01/05/2023,CDP,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP33140,Scandinavian Tobacco Group A/S,scandinavian tobacco,"https://www.st-group.com/ 
https://www.linkedin.com/company/scandinavian-tobacco-group
",5299003KG4JS99TRML67,Denmark,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,06/02/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,SCANIA CV,scania,https://www.scania.com/,529900BZYSUQLQSPNR07,Sweden,Western European and Others Group (WEOG),,,Company,Manufacturing,,09/11/2019,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,
GCAP20911,ScanLAB Projects,scanlab projects,https://scanlabprojects.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,25/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Scanstrut,scanstrut,https://www.scanstrut.com/uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,07/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP3499,Scatec ASA,scatec,,5967007LIEEXZXIARK36,Norway,Western European and Others Group (WEOG),,,Company,Power generation,,16/06/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP33158,SCB X Public Company Limited,scb x,https://www.scbx.com/th/about-us.html,,Thailand,Asia-Pacific Group,,,Financial Institution,n/a,,30/06/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP30651,SCC plc,scc,www.scc.com,549300ISIPXWQZJKLM18,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,11/01/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP21061,Sceaux,sceaux,,,France,Western European and Others Group (WEOG),,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Scene Connect Ltd,scene connect,www.scene.community,,United Kingdom,Western European and Others Group (WEOG),,1040000,Company,Other,,12/05/2021,Other,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP22230,Schindler Group,schindler,schindler.cl,5299007DRLI319H7Q933,Switzerland,Western European and Others Group (WEOG),,,Company,Manufacturing,,24/06/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP2441,Schneider Electric,schneider electric,se.com,969500A1YF1XUYYXS284,France,Western European and Others Group (WEOG),,,Company,Manufacturing,,29/07/2019,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP31388,Schneitec,schneitec,,,Cambodia,Asia-Pacific Group,,,SME,Other,,15/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24545,Schofield Watch Company Limited,schofield watch,https://schofieldwatchcompany.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,21/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP33249,Scholle IPN Netherlands B.V.,scholle ipn netherlands,www.scholleipn.com,,Netherlands,Western European and Others Group (WEOG),,,Company,Manufacturing,,08/04/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP24441,Schönherz Iskolaszövetkezet,schönherz iskolaszövetkezet,http://www.schonherz.hu,,Hungary,Eastern European Group,,,SME,Services,,11/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP19506,School of Environment and Sustainability Student Association,school environment sustainability student,https://sens.usask.ca/students/student-groups.php#SchoolofEnvironmentandSustainabilityStudentsAssociation,,Canada,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP30652,School of the Wild,school the wild,https://www.schoolofthewild.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,03/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30653,SchoolPro TLC Ltd,schoolpro tlc,https://schoolpro.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,08/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Schreiber Foods,schreiber foods,schreiberfoods.com,549300P0NLCJ4EDUQO79,United States of America,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,11/06/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Schreiner Group GmbH & Co. KG,schreiner,www.schreiner-group.com,,Germany,Western European and Others Group (WEOG),,,Company,Manufacturing,,01/05/2023,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP2442,Schroders,schroders,https://www.schroders.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,n/a,,,CDP,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,
,Schroders Greencoat (formerly Greencoat Capital LLP),schroders greencoat (formerly greencoat llp),https://www.schrodersgreencoat.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,n/a,12.4,,,,Mar-23,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
GCAP22231,Schüco International KG,schüco,,529900TL1LMLB56HHD21,Germany,Western European and Others Group (WEOG),,,Company,Materials,,07/09/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Schwan STABILO Cosmetics GmbH & Co. KG,schwan stabilo cosmetics,www.schwancosmetics.com,,Germany,Western European and Others Group (WEOG),,,Company,Manufacturing,,11/10/2022,CDP,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP32853,SCI Construction Group,sci construction,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,31/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30654,Sciglyph Exploration,sciglyph exploration,http://www.sciglyph.com,,India,Asia-Pacific Group,,,SME,Power generation,,03/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,SCM Handling Ltd,scm handling,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other machinery manufacturing,,28/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP2444,SCOR SE,scor,http://www.scor.com/,,France,Western European and Others Group (WEOG),,,Financial Institution,n/a,,07/11/2021,Other,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
,Scotiabank (Bank of Nova Scotia),scotiabank (bank nova scotia),https://www.scotiabank.com/content/dam/scotiabank/corporate/Documents/Scotiabank_Net_Zero_Report_2022-EN.pdf,,Canada,Western European and Others Group (WEOG),,,Financial Institution,n/a,910680000000,14/10/2021,Own Website,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
GCAP3952,Scotland,scotland,https://www.gov.scot/,,United Kingdom,Western European and Others Group (WEOG),,,State or Region,n/a,,09/01/2019,CDP,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
GCAP20319,Scotmas Group,scotmas,www.scotmas.com,,United Kingdom,Western European and Others Group (WEOG),,5000000,Company,Manufacturing,,27/03/2021,Other,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24850,Scott Logic,scott logic,http://scottlogic.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Other,,10/01/2021,Own Website,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,
,Scottish Africa Business Association,africa,http://www.africascot.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,04/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23334,Scottish Borders Chamber of Commerce,borders chamber commerce,http://www.borderschamber.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,06/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Scottish Engineering,engineering,http://www.scottishengineering.org.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,03/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP17263,Scottish Hydro Electric Transmission Plc,hydro electric transmission,https://www.ssen-transmission.co.uk/,549300ECJZDA7203MK64,United Kingdom,Western European and Others Group (WEOG),,,Company,Power generation,,02/04/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP20912,Scottish Leather Group,leather,scottishleathergroup.com,213800XUTFZHUCSI8P65,United Kingdom,Western European and Others Group (WEOG),,,Company,Apparel,,03/02/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP21229,Scottish Opera,opera,https://www.scottishopera.org.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,26/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP21126,"Scottish Widows, part of Lloyds Banking Group",widows part lloyds banking,https://www.lloydsbankinggroup.com/who-we-are/our-brands/scottish-widows.html,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,n/a,254,11/03/2021,Other,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
GCAP30655,Scottsdale Community College,scottsdale community college,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP18176,Scout Books,scout books,http://www.scoutbooks.com,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,08/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Scrapp,scrapp,http://www.scrapprecycling.com,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,28/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23083,Scrummi,scrummi,http://www.scrummi.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,06/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,SCS Technologies,scs technologies,http://www.scslact.com,,United States of America,Western European and Others Group (WEOG),,,SME,Electrical machinery and apparaturs manufacturing,,11/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30656,ScubaScreen Limited,scubascreen,http://Www.scubascreen.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,04/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP20913,Sculpture Placement Group,sculpture placement,https://sculptureplacementgroup.org.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,26/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP21943,SD Studio Ltd,sd studio,http://www.sdstudio.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,26/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24472,SDG Changemakers,sdg changemakers,https://www.sdgchangemakers.today/ ,,New Zealand,Western European and Others Group (WEOG),,,SME,Services,,16/01/2023,Did not - joined less than 12 months ago,,Mar-23,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,
,SDR Capital Limited (trading name Xyrya),sdr (trading name xyrya),https://xyrya.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Financial actor not insurance and pension,,27/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30658,SeaCircular,seacircular,http://www.seacircular.com,,Spain,Western European and Others Group (WEOG),,,SME,Other,,23/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP19698,Seacourt Ltd,seacourt,http://www.seacourt.net,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,26/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24456,Seagulls Re-Use Limited,seagulls re-use,http://www.seagullsreuse.org.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,04/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP21944,Sealand Projects Limited,sealand projects,http://Sealand-Projects.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,06/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24520,Seas The Opportuniy,seas the opportuniy,http://www.seastheopportunity.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,27/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30659,Seasoned Communications,seasoned communications,http://seasonedcommunications.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,19/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP33146,Seaspray Video,seaspray video,https://vimeo.com/seasprayvideo,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,26/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30660,Seated Sewing,seated sewing,http://www.seatedsewing.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,15/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP4635,"Seattle, WA",seattle wa,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,SEB (Skandinaviska Enskilda Banken),seb (skandinaviska enskilda banken),https://sebgroup.com/ambitions-and-goals,,Sweden,Western European and Others Group (WEOG),,,Financial Institution,n/a,414753000000,21/04/2021,Own Website,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
