GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
,Alba Partners Limited,alba partners,https://albapartners.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,30/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Alberami Srl,alberami,,,Italy,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,13/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Aldar Properties PJSC,aldar properties pjsc,https://aldar.com/en,,United Arab Emirates,Asia-Pacific Group,,,Company,Real Estate,,18/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Alder and Alder,alder alder,http://www.alderandalder.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,20/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Alianza Empresarial para el Desarrollo,alianza empresarial para el desarrollo,,,Costa Rica,Latin American and Caribbean Group (GRULAC),,,SME,Repair household goods,,09/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,All for One Group SE,all for one,https://www.all-for-one.com/en/,529900GB6FMY3QJLBM61,Germany,Western European and Others Group (WEOG),,,Company,Software and Services,,9/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Allan Joyce Architects Ltd,allan joyce architects,https://allanjoycearchitects.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,23/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,allmansright ultralight gear lab,allmansright ultralight gear lab,http://www.allmansright.com,,United States of America,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,11/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Allstar Solutions Ltd,allstar solutions,https://allstar.agency,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,29/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Almac Group Limited,almac,http://www.almacgroup.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,"Pharmaceuticals, Biotechnology and Life Sciences",,8/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Almaty Technological University,almaty technological university,https://atu.edu.kz/en/home,,Kazakhstan,Asia-Pacific Group,,,Higher Education,,,19/07/2023,Did not - joined less than 12 months ago,,Jul-23,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
,ALOM Technologies Corporation,alom technologies,www.alom.com,,United States of America,Western European and Others Group (WEOG),,,SME,Containers and Packaging,,6/7/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Alpha Bank,alpha bank,https://www.alpha.gr/en/group,,Greece,Western European and Others Group (WEOG),,,Financial Institution,,81775000000,25/05/2023,Did not - joined less than 12 months ago,,Jul-23,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
,Alsico Group,alsico,http://www.alsicogroup.com/,,Belgium,Western European and Others Group (WEOG),,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,6/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,altr,altr,http://@drinkaltr,,Australia,Western European and Others Group (WEOG),,,SME,Beverage manufacturing,,21/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Aluflexpack AG,aluflexpack,https://www.aluflexpack.com/,529900ZK9QIQWWPU5T64,Switzerland,Western European and Others Group (WEOG),,,Company,Containers and Packaging,,1/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Amarant Bakkersholding B.V.,amarant bakkersholding,www.amarantbakkers.nl,,Netherlands,Western European and Others Group (WEOG),,,SME,Food and Beverage Processing,,9/3/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Ambient Electrical Services Ltd,ambient electrical services,http://www.ambientelectrical.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,10/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,ambipar participações e empreendimentos,http://ambipar.com/,,Brazil,Latin American and Caribbean Group (GRULAC),,,Company,Professional Services,,4/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,AMCO,amco,https://www.amco-group.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,07/06/2023,Did not - joined less than 12 months ago,AMCO pledged to reach Net Zero by 2050. Planet Mark Member. FIRST 12 MONTHS,Jul-23,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
,Amer Sports Corporation,amer sports,http://www.amersports.com,,Finland,Western European and Others Group (WEOG),,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,6/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
